1.00E+02	5.21E+06
1.50E+02	2.36E+06
2.00E+02	1.29E+06
2.48E+02	8.01E+05
2.48E+02	1.40E+06
2.53E+02	1.73E+06
2.59E+02	1.94E+06
2.59E+02	2.46E+06
3.00E+02	1.97E+06
3.07E+02	1.86E+06
3.07E+02	2.15E+06
3.30E+02	1.80E+06
3.55E+02	1.50E+06
3.55E+02	1.59E+06
3.70E+02	1.44E+06
3.85E+02	1.31E+06
3.85E+02	1.37E+06
4.00E+02	1.25E+06
5.00E+02	7.30E+05
6.00E+02	4.67E+05
8.00E+02	2.29E+05
1.00E+03	1.31E+05
1.30E+03	6.70E+04
1.30E+03	1.62E+05
1.50E+03	1.12E+05
1.52E+03	1.08E+05
1.52E+03	1.49E+05
1.55E+03	1.42E+05
1.59E+03	1.34E+05
1.59E+03	1.55E+05
2.00E+03	8.64E+04
3.00E+03	3.03E+04
4.00E+03	1.44E+04
5.00E+03	8.04E+03
6.00E+03	5.02E+03
8.00E+03	2.42E+03
