1.00E+02	4.08E+06
1.50E+02	1.38E+06
2.00E+02	6.17E+05
3.00E+02	1.93E+05
4.00E+02	8.28E+04
5.00E+02	4.26E+04
6.00E+02	2.46E+04
8.00E+02	1.04E+04
1.00E+03	5.33E+03
1.50E+03	1.67E+03
2.00E+03	8.10E+02
3.00E+03	3.76E+02
4.00E+03	2.68E+02
5.00E+03	2.27E+02
6.00E+03	2.06E+02
8.00E+03	1.84E+02
1.00E+04	1.71E+02
1.50E+04	1.51E+02
2.00E+04	1.37E+02
3.00E+04	1.19E+02
4.00E+04	1.06E+02
5.00E+04	9.69E+01
6.00E+04	8.96E+01
8.00E+04	7.87E+01
1.00E+05	7.07E+01
1.25E+05	6.32E+01
1.50E+05	5.75E+01
2.00E+05	4.94E+01
3.00E+05	3.97E+01
4.00E+05	3.40E+01
5.00E+05	3.03E+01
6.00E+05	2.77E+01
8.00E+05	2.43E+01
1.00E+06	2.22E+01
1.50E+06	1.94E+01
2.00E+06	1.81E+01
