PulserCal_3.09MeV
10/GEN/20 11:40
Sample 	 Time_L [msec]  Time_H [msec] 	 Amp [mV] 	 Detector 
0 	 20 	 0 	 2177 	 0 
1 	 20 	 0 	 2191 	 0 
2 	 20 	 0 	 2194 	 0 
3 	 20 	 0 	 2188 	 0 
4 	 20 	 0 	 2190 	 0 
5 	 20 	 0 	 2175 	 0 
6 	 20 	 0 	 2166 	 0 
7 	 20 	 0 	 2202 	 0 
8 	 20 	 0 	 2175 	 0 
9 	 20 	 0 	 2176 	 0 
10 	 20 	 0 	 2182 	 0 
11 	 25 	 0 	 2181 	 0 
12 	 25 	 0 	 2182 	 0 
13 	 29 	 0 	 2172 	 0 
14 	 29 	 0 	 2182 	 0 
15 	 33 	 0 	 2184 	 0 
16 	 33 	 0 	 2187 	 0 
17 	 37 	 0 	 2180 	 0 
18 	 37 	 0 	 2171 	 0 
19 	 42 	 0 	 2185 	 0 
20 	 42 	 0 	 2187 	 0 
21 	 46 	 0 	 2205 	 0 
22 	 46 	 0 	 2194 	 0 
23 	 50 	 0 	 2187 	 0 
24 	 50 	 0 	 2189 	 0 
25 	 54 	 0 	 2191 	 0 
26 	 54 	 0 	 2189 	 0 
27 	 59 	 0 	 2181 	 0 
28 	 59 	 0 	 2184 	 0 
29 	 63 	 0 	 2179 	 0 
30 	 63 	 0 	 2196 	 0 
31 	 68 	 0 	 2189 	 0 
32 	 68 	 0 	 2187 	 0 
33 	 68 	 0 	 2186 	 0 
34 	 73 	 0 	 2199 	 0 
35 	 73 	 0 	 2188 	 0 
36 	 73 	 0 	 2187 	 0 
37 	 78 	 0 	 2182 	 0 
38 	 78 	 0 	 2205 	 0 
39 	 83 	 0 	 2194 	 0 
40 	 83 	 0 	 2180 	 0 
41 	 87 	 0 	 2173 	 0 
42 	 87 	 0 	 2172 	 0 
43 	 92 	 0 	 2184 	 0 
44 	 92 	 0 	 2178 	 0 
45 	 96 	 0 	 2172 	 0 
46 	 96 	 0 	 2176 	 0 
47 	 99 	 0 	 2174 	 0 
48 	 99 	 0 	 2177 	 0 
49 	 103 	 0 	 2185 	 0 
50 	 103 	 0 	 2184 	 0 
51 	 107 	 0 	 2186 	 0 
52 	 107 	 0 	 2179 	 0 
53 	 111 	 0 	 2176 	 0 
54 	 111 	 0 	 2168 	 0 
55 	 116 	 0 	 2187 	 0 
56 	 116 	 0 	 2180 	 0 
57 	 120 	 0 	 2182 	 0 
58 	 120 	 0 	 2184 	 0 
59 	 124 	 0 	 2188 	 0 
60 	 124 	 0 	 2170 	 0 
61 	 129 	 0 	 2191 	 0 
62 	 129 	 0 	 2189 	 0 
63 	 131 	 0 	 2188 	 0 
64 	 131 	 0 	 2167 	 0 
65 	 136 	 0 	 2178 	 0 
66 	 136 	 0 	 2190 	 0 
67 	 140 	 0 	 2183 	 0 
68 	 140 	 0 	 2180 	 0 
69 	 144 	 0 	 2190 	 0 
70 	 144 	 0 	 2184 	 0 
71 	 149 	 0 	 2205 	 0 
72 	 149 	 0 	 2188 	 0 
73 	 153 	 0 	 2199 	 0 
74 	 153 	 0 	 2184 	 0 
75 	 157 	 0 	 2179 	 0 
76 	 157 	 0 	 2190 	 0 
77 	 161 	 0 	 2183 	 0 
78 	 161 	 0 	 2183 	 0 
79 	 164 	 0 	 2192 	 0 
80 	 164 	 0 	 2182 	 0 
81 	 168 	 0 	 2179 	 0 
82 	 168 	 0 	 2187 	 0 
83 	 173 	 0 	 2179 	 0 
84 	 173 	 0 	 2194 	 0 
85 	 177 	 0 	 2186 	 0 
86 	 177 	 0 	 2195 	 0 
87 	 181 	 0 	 2190 	 0 
88 	 181 	 0 	 2182 	 0 
89 	 185 	 0 	 2190 	 0 
90 	 185 	 0 	 2190 	 0 
91 	 190 	 0 	 2195 	 0 
92 	 190 	 0 	 2191 	 0 
93 	 194 	 0 	 2185 	 0 
94 	 194 	 0 	 2169 	 0 
95 	 198 	 0 	 2184 	 0 
96 	 198 	 0 	 2188 	 0 
97 	 202 	 0 	 2191 	 0 
98 	 202 	 0 	 2186 	 0 
99 	 205 	 0 	 2169 	 0 
100 	 205 	 0 	 2194 	 0 
101 	 209 	 0 	 2179 	 0 
102 	 209 	 0 	 2181 	 0 
103 	 214 	 0 	 2190 	 0 
104 	 214 	 0 	 2170 	 0 
105 	 218 	 0 	 2172 	 0 
106 	 218 	 0 	 2178 	 0 
107 	 222 	 0 	 2181 	 0 
108 	 222 	 0 	 2178 	 0 
109 	 226 	 0 	 2188 	 0 
110 	 226 	 0 	 2189 	 0 
111 	 231 	 0 	 2179 	 0 
112 	 231 	 0 	 2207 	 0 
113 	 235 	 0 	 2191 	 0 
114 	 235 	 0 	 2186 	 0 
115 	 239 	 0 	 2177 	 0 
116 	 239 	 0 	 2181 	 0 
117 	 242 	 0 	 2171 	 0 
118 	 242 	 0 	 2175 	 0 
119 	 246 	 0 	 2195 	 0 
120 	 246 	 0 	 2195 	 0 
121 	 251 	 0 	 2181 	 0 
122 	 251 	 0 	 2184 	 0 
123 	 255 	 0 	 2179 	 0 
124 	 255 	 0 	 2189 	 0 
125 	 259 	 0 	 2168 	 0 
126 	 259 	 0 	 2176 	 0 
127 	 263 	 0 	 2161 	 0 
128 	 263 	 0 	 2184 	 0 
129 	 268 	 0 	 2171 	 0 
130 	 268 	 0 	 2185 	 0 
131 	 272 	 0 	 2180 	 0 
132 	 272 	 0 	 2172 	 0 
133 	 276 	 0 	 2180 	 0 
134 	 276 	 0 	 2183 	 0 
135 	 279 	 0 	 2172 	 0 
136 	 279 	 0 	 2174 	 0 
137 	 283 	 0 	 2175 	 0 
138 	 283 	 0 	 2190 	 0 
139 	 287 	 0 	 2187 	 0 
140 	 287 	 0 	 2183 	 0 
141 	 292 	 0 	 2175 	 0 
142 	 292 	 0 	 2179 	 0 
143 	 296 	 0 	 2170 	 0 
144 	 296 	 0 	 2173 	 0 
145 	 300 	 0 	 2187 	 0 
146 	 300 	 0 	 2183 	 0 
147 	 304 	 0 	 2180 	 0 
148 	 304 	 0 	 2180 	 0 
149 	 309 	 0 	 2196 	 0 
150 	 309 	 0 	 2198 	 0 
151 	 313 	 0 	 2198 	 0 
152 	 313 	 0 	 2186 	 0 
153 	 317 	 0 	 2190 	 0 
154 	 317 	 0 	 2186 	 0 
155 	 320 	 0 	 2189 	 0 
156 	 320 	 0 	 2191 	 0 
157 	 324 	 0 	 2175 	 0 
158 	 324 	 0 	 2188 	 0 
159 	 328 	 0 	 2192 	 0 
160 	 328 	 0 	 2185 	 0 
161 	 333 	 0 	 2190 	 0 
162 	 333 	 0 	 2181 	 0 
163 	 337 	 0 	 2179 	 0 
164 	 337 	 0 	 2185 	 0 
165 	 341 	 0 	 2182 	 0 
166 	 341 	 0 	 2177 	 0 
167 	 345 	 0 	 2184 	 0 
168 	 345 	 0 	 2181 	 0 
169 	 349 	 0 	 2190 	 0 
170 	 349 	 0 	 2189 	 0 
171 	 354 	 0 	 2186 	 0 
172 	 354 	 0 	 2197 	 0 
173 	 358 	 0 	 2180 	 0 
174 	 358 	 0 	 2188 	 0 
175 	 362 	 0 	 2180 	 0 
176 	 362 	 0 	 2190 	 0 
177 	 365 	 0 	 2178 	 0 
178 	 365 	 0 	 2184 	 0 
179 	 369 	 0 	 2194 	 0 
180 	 369 	 0 	 2181 	 0 
181 	 373 	 0 	 2183 	 0 
182 	 373 	 0 	 2188 	 0 
183 	 378 	 0 	 2180 	 0 
184 	 378 	 0 	 2194 	 0 
185 	 382 	 0 	 2187 	 0 
186 	 382 	 0 	 2178 	 0 
187 	 386 	 0 	 2190 	 0 
188 	 386 	 0 	 2169 	 0 
189 	 390 	 0 	 2183 	 0 
190 	 390 	 0 	 2170 	 0 
191 	 395 	 0 	 2187 	 0 
192 	 395 	 0 	 2178 	 0 
193 	 399 	 0 	 2181 	 0 
194 	 399 	 0 	 2188 	 0 
195 	 403 	 0 	 2181 	 0 
196 	 403 	 0 	 2200 	 0 
197 	 406 	 0 	 2190 	 0 
198 	 406 	 0 	 2196 	 0 
199 	 410 	 0 	 2190 	 0 
200 	 410 	 0 	 2190 	 0 
201 	 414 	 0 	 2195 	 0 
202 	 414 	 0 	 2190 	 0 
203 	 419 	 0 	 2169 	 0 
204 	 419 	 0 	 2169 	 0 
205 	 426 	 0 	 2175 	 0 
206 	 426 	 0 	 2181 	 0 
207 	 426 	 0 	 2192 	 0 
208 	 430 	 0 	 2180 	 0 
209 	 430 	 0 	 2183 	 0 
210 	 433 	 0 	 2195 	 0 
211 	 433 	 0 	 2191 	 0 
212 	 437 	 0 	 2187 	 0 
213 	 437 	 0 	 2186 	 0 
214 	 441 	 0 	 2185 	 0 
215 	 441 	 0 	 2176 	 0 
216 	 445 	 0 	 2189 	 0 
217 	 445 	 0 	 2164 	 0 
218 	 449 	 0 	 2188 	 0 
219 	 449 	 0 	 2172 	 0 
220 	 454 	 0 	 2184 	 0 
221 	 454 	 0 	 2186 	 0 
222 	 458 	 0 	 2192 	 0 
223 	 458 	 0 	 2192 	 0 
224 	 462 	 0 	 2175 	 0 
225 	 462 	 0 	 2182 	 0 
226 	 467 	 0 	 2181 	 0 
227 	 467 	 0 	 2195 	 0 
228 	 469 	 0 	 2162 	 0 
229 	 469 	 0 	 2187 	 0 
230 	 474 	 0 	 2182 	 0 
231 	 474 	 0 	 2191 	 0 
232 	 478 	 0 	 2177 	 0 
233 	 478 	 0 	 2186 	 0 
234 	 482 	 0 	 2173 	 0 
235 	 482 	 0 	 2158 	 0 
236 	 486 	 0 	 2183 	 0 
237 	 486 	 0 	 2179 	 0 
238 	 491 	 0 	 2177 	 0 
239 	 491 	 0 	 2179 	 0 
240 	 495 	 0 	 2185 	 0 
241 	 495 	 0 	 2190 	 0 
242 	 499 	 0 	 2186 	 0 
243 	 499 	 0 	 2173 	 0 
244 	 503 	 0 	 2183 	 0 
245 	 503 	 0 	 2183 	 0 
246 	 508 	 0 	 2172 	 0 
247 	 508 	 0 	 2165 	 0 
248 	 510 	 0 	 2186 	 0 
249 	 510 	 0 	 2193 	 0 
250 	 515 	 0 	 2196 	 0 
251 	 515 	 0 	 2196 	 0 
252 	 519 	 0 	 2209 	 0 
253 	 519 	 0 	 2188 	 0 
254 	 523 	 0 	 2183 	 0 
255 	 523 	 0 	 2182 	 0 
256 	 527 	 0 	 2184 	 0 
257 	 527 	 0 	 2178 	 0 
258 	 532 	 0 	 2188 	 0 
259 	 532 	 0 	 2194 	 0 
260 	 536 	 0 	 2181 	 0 
261 	 536 	 0 	 2188 	 0 
262 	 540 	 0 	 2178 	 0 
263 	 540 	 0 	 2179 	 0 
264 	 544 	 0 	 2179 	 0 
265 	 544 	 0 	 2183 	 0 
266 	 549 	 0 	 2190 	 0 
267 	 549 	 0 	 2194 	 0 
268 	 551 	 0 	 2178 	 0 
269 	 551 	 0 	 2190 	 0 
270 	 556 	 0 	 2183 	 0 
271 	 556 	 0 	 2203 	 0 
272 	 560 	 0 	 2173 	 0 
273 	 560 	 0 	 2180 	 0 
274 	 564 	 0 	 2186 	 0 
275 	 564 	 0 	 2180 	 0 
276 	 568 	 0 	 2181 	 0 
277 	 568 	 0 	 2186 	 0 
278 	 573 	 0 	 2192 	 0 
279 	 573 	 0 	 2189 	 0 
280 	 577 	 0 	 2169 	 0 
281 	 577 	 0 	 2189 	 0 
282 	 581 	 0 	 2190 	 0 
283 	 581 	 0 	 2191 	 0 
284 	 586 	 0 	 2188 	 0 
285 	 586 	 0 	 2199 	 0 
286 	 588 	 0 	 2175 	 0 
287 	 588 	 0 	 2175 	 0 
288 	 593 	 0 	 2193 	 0 
289 	 593 	 0 	 2170 	 0 
290 	 597 	 0 	 2176 	 0 
291 	 597 	 0 	 2191 	 0 
292 	 601 	 0 	 2193 	 0 
293 	 601 	 0 	 2193 	 0 
294 	 605 	 0 	 2194 	 0 
295 	 605 	 0 	 2184 	 0 
296 	 609 	 0 	 2185 	 0 
297 	 609 	 0 	 2186 	 0 
298 	 614 	 0 	 2195 	 0 
299 	 614 	 0 	 2175 	 0 
300 	 618 	 0 	 2185 	 0 
301 	 618 	 0 	 2181 	 0 
302 	 622 	 0 	 2170 	 0 
303 	 622 	 0 	 2195 	 0 
304 	 626 	 0 	 2189 	 0 
305 	 626 	 0 	 2182 	 0 
306 	 629 	 0 	 2183 	 0 
307 	 629 	 0 	 2168 	 0 
308 	 633 	 0 	 2177 	 0 
309 	 633 	 0 	 2188 	 0 
310 	 638 	 0 	 2182 	 0 
311 	 638 	 0 	 2175 	 0 
312 	 642 	 0 	 2185 	 0 
313 	 642 	 0 	 2177 	 0 
314 	 646 	 0 	 2180 	 0 
315 	 646 	 0 	 2178 	 0 
316 	 650 	 0 	 2190 	 0 
317 	 650 	 0 	 2182 	 0 
318 	 655 	 0 	 2185 	 0 
319 	 655 	 0 	 2189 	 0 
320 	 659 	 0 	 2187 	 0 
321 	 659 	 0 	 2173 	 0 
322 	 663 	 0 	 2182 	 0 
323 	 663 	 0 	 2184 	 0 
324 	 667 	 0 	 2179 	 0 
325 	 667 	 0 	 2197 	 0 
326 	 670 	 0 	 2185 	 0 
327 	 670 	 0 	 2185 	 0 
328 	 674 	 0 	 2187 	 0 
329 	 674 	 0 	 2191 	 0 
330 	 679 	 0 	 2193 	 0 
331 	 679 	 0 	 2175 	 0 
332 	 683 	 0 	 2187 	 0 
333 	 683 	 0 	 2182 	 0 
334 	 687 	 0 	 2174 	 0 
335 	 687 	 0 	 2188 	 0 
336 	 691 	 0 	 2193 	 0 
337 	 691 	 0 	 2201 	 0 
338 	 696 	 0 	 2184 	 0 
339 	 696 	 0 	 2187 	 0 
340 	 700 	 0 	 2184 	 0 
341 	 700 	 0 	 2187 	 0 
342 	 704 	 0 	 2183 	 0 
343 	 704 	 0 	 2193 	 0 
344 	 708 	 0 	 2186 	 0 
345 	 708 	 0 	 2196 	 0 
346 	 711 	 0 	 2197 	 0 
347 	 711 	 0 	 2189 	 0 
348 	 715 	 0 	 2185 	 0 
349 	 715 	 0 	 2188 	 0 
350 	 720 	 0 	 2180 	 0 
351 	 720 	 0 	 2178 	 0 
352 	 724 	 0 	 2182 	 0 
353 	 724 	 0 	 2172 	 0 
354 	 728 	 0 	 2195 	 0 
355 	 728 	 0 	 2182 	 0 
356 	 732 	 0 	 2185 	 0 
357 	 732 	 0 	 2189 	 0 
358 	 737 	 0 	 2189 	 0 
359 	 737 	 0 	 2176 	 0 
360 	 741 	 0 	 2182 	 0 
361 	 741 	 0 	 2182 	 0 
362 	 745 	 0 	 2201 	 0 
363 	 745 	 0 	 2188 	 0 
364 	 749 	 0 	 2184 	 0 
365 	 749 	 0 	 2184 	 0 
366 	 754 	 0 	 2190 	 0 
367 	 754 	 0 	 2181 	 0 
368 	 756 	 0 	 2184 	 0 
369 	 756 	 0 	 2187 	 0 
370 	 761 	 0 	 2189 	 0 
371 	 761 	 0 	 2185 	 0 
372 	 765 	 0 	 2178 	 0 
373 	 765 	 0 	 2182 	 0 
374 	 769 	 0 	 2185 	 0 
375 	 769 	 0 	 2187 	 0 
376 	 773 	 0 	 2186 	 0 
377 	 773 	 0 	 2170 	 0 
378 	 777 	 0 	 2181 	 0 
379 	 777 	 0 	 2167 	 0 
380 	 782 	 0 	 2180 	 0 
381 	 782 	 0 	 2179 	 0 
382 	 786 	 0 	 2172 	 0 
383 	 786 	 0 	 2178 	 0 
384 	 790 	 0 	 2188 	 0 
385 	 790 	 0 	 2200 	 0 
386 	 794 	 0 	 2183 	 0 
