PulserCal_1.10MeV
10/01/20 12:01
Sample 	 Time_L [msec]  Time_H [msec] 	 Amp [mV] 	 Detector 
0 	 5 	 0 	 664 	 0 
1 	 5 	 0 	 679 	 0 
2 	 5 	 0 	 665 	 0 
3 	 24 	 0 	 669 	 0 
4 	 24 	 0 	 660 	 0 
5 	 24 	 0 	 660 	 0 
6 	 24 	 0 	 668 	 0 
7 	 24 	 0 	 665 	 0 
8 	 24 	 0 	 654 	 0 
9 	 24 	 0 	 683 	 0 
10 	 24 	 0 	 662 	 0 
11 	 24 	 0 	 667 	 0 
12 	 24 	 0 	 654 	 0 
13 	 30 	 0 	 662 	 0 
14 	 30 	 0 	 677 	 0 
15 	 34 	 0 	 667 	 0 
16 	 34 	 0 	 656 	 0 
17 	 37 	 0 	 668 	 0 
18 	 37 	 0 	 660 	 0 
19 	 41 	 0 	 663 	 0 
20 	 41 	 0 	 663 	 0 
21 	 46 	 0 	 662 	 0 
22 	 46 	 0 	 670 	 0 
23 	 50 	 0 	 669 	 0 
24 	 50 	 0 	 663 	 0 
25 	 54 	 0 	 660 	 0 
26 	 54 	 0 	 672 	 0 
27 	 58 	 0 	 666 	 0 
28 	 58 	 0 	 672 	 0 
29 	 64 	 0 	 660 	 0 
30 	 64 	 0 	 679 	 0 
31 	 64 	 0 	 653 	 0 
32 	 68 	 0 	 658 	 0 
33 	 68 	 0 	 677 	 0 
34 	 73 	 0 	 658 	 0 
35 	 73 	 0 	 662 	 0 
36 	 77 	 0 	 673 	 0 
37 	 77 	 0 	 664 	 0 
38 	 81 	 0 	 674 	 0 
39 	 81 	 0 	 650 	 0 
40 	 84 	 0 	 659 	 0 
41 	 84 	 0 	 666 	 0 
42 	 88 	 0 	 677 	 0 
43 	 88 	 0 	 676 	 0 
44 	 92 	 0 	 659 	 0 
45 	 92 	 0 	 659 	 0 
46 	 97 	 0 	 654 	 0 
47 	 97 	 0 	 652 	 0 
48 	 101 	 0 	 665 	 0 
49 	 101 	 0 	 661 	 0 
50 	 105 	 0 	 662 	 0 
51 	 105 	 0 	 675 	 0 
52 	 109 	 0 	 661 	 0 
53 	 109 	 0 	 664 	 0 
54 	 115 	 0 	 663 	 0 
55 	 115 	 0 	 664 	 0 
56 	 115 	 0 	 667 	 0 
57 	 119 	 0 	 659 	 0 
58 	 119 	 0 	 668 	 0 
59 	 124 	 0 	 670 	 0 
60 	 124 	 0 	 662 	 0 
61 	 128 	 0 	 656 	 0 
62 	 128 	 0 	 677 	 0 
63 	 132 	 0 	 663 	 0 
64 	 132 	 0 	 669 	 0 
65 	 136 	 0 	 674 	 0 
66 	 136 	 0 	 674 	 0 
67 	 139 	 0 	 670 	 0 
68 	 139 	 0 	 674 	 0 
69 	 143 	 0 	 680 	 0 
70 	 143 	 0 	 652 	 0 
71 	 148 	 0 	 676 	 0 
72 	 148 	 0 	 657 	 0 
73 	 152 	 0 	 668 	 0 
74 	 152 	 0 	 656 	 0 
75 	 156 	 0 	 660 	 0 
76 	 156 	 0 	 661 	 0 
77 	 160 	 0 	 662 	 0 
78 	 160 	 0 	 658 	 0 
79 	 165 	 0 	 657 	 0 
80 	 165 	 0 	 651 	 0 
81 	 169 	 0 	 669 	 0 
82 	 169 	 0 	 674 	 0 
83 	 173 	 0 	 658 	 0 
84 	 173 	 0 	 667 	 0 
85 	 177 	 0 	 646 	 0 
86 	 177 	 0 	 665 	 0 
87 	 182 	 0 	 652 	 0 
88 	 182 	 0 	 659 	 0 
89 	 184 	 0 	 649 	 0 
90 	 184 	 0 	 662 	 0 
91 	 189 	 0 	 670 	 0 
92 	 189 	 0 	 664 	 0 
93 	 193 	 0 	 641 	 0 
94 	 193 	 0 	 658 	 0 
95 	 197 	 0 	 667 	 0 
96 	 197 	 0 	 662 	 0 
97 	 202 	 0 	 671 	 0 
98 	 202 	 0 	 668 	 0 
99 	 206 	 0 	 662 	 0 
100 	 206 	 0 	 670 	 0 
101 	 210 	 0 	 671 	 0 
102 	 210 	 0 	 661 	 0 
103 	 213 	 0 	 672 	 0 
104 	 213 	 0 	 666 	 0 
105 	 217 	 0 	 668 	 0 
106 	 217 	 0 	 678 	 0 
107 	 221 	 0 	 661 	 0 
108 	 221 	 0 	 651 	 0 
109 	 226 	 0 	 661 	 0 
110 	 226 	 0 	 646 	 0 
111 	 230 	 0 	 662 	 0 
112 	 230 	 0 	 657 	 0 
113 	 234 	 0 	 673 	 0 
114 	 234 	 0 	 677 	 0 
115 	 238 	 0 	 665 	 0 
116 	 238 	 0 	 661 	 0 
117 	 243 	 0 	 661 	 0 
118 	 243 	 0 	 661 	 0 
119 	 247 	 0 	 663 	 0 
120 	 247 	 0 	 651 	 0 
121 	 251 	 0 	 670 	 0 
122 	 251 	 0 	 668 	 0 
123 	 255 	 0 	 660 	 0 
124 	 255 	 0 	 671 	 0 
125 	 258 	 0 	 680 	 0 
126 	 258 	 0 	 655 	 0 
127 	 262 	 0 	 661 	 0 
128 	 262 	 0 	 671 	 0 
129 	 267 	 0 	 660 	 0 
130 	 267 	 0 	 658 	 0 
131 	 271 	 0 	 671 	 0 
132 	 271 	 0 	 661 	 0 
133 	 275 	 0 	 669 	 0 
134 	 275 	 0 	 679 	 0 
135 	 279 	 0 	 659 	 0 
136 	 279 	 0 	 659 	 0 
137 	 284 	 0 	 674 	 0 
138 	 284 	 0 	 666 	 0 
139 	 288 	 0 	 661 	 0 
140 	 288 	 0 	 661 	 0 
141 	 292 	 0 	 664 	 0 
142 	 292 	 0 	 645 	 0 
143 	 296 	 0 	 658 	 0 
144 	 296 	 0 	 663 	 0 
145 	 299 	 0 	 666 	 0 
146 	 299 	 0 	 674 	 0 
147 	 303 	 0 	 651 	 0 
148 	 303 	 0 	 677 	 0 
149 	 308 	 0 	 668 	 0 
150 	 308 	 0 	 672 	 0 
151 	 312 	 0 	 659 	 0 
152 	 312 	 0 	 664 	 0 
153 	 316 	 0 	 665 	 0 
154 	 316 	 0 	 672 	 0 
155 	 320 	 0 	 668 	 0 
156 	 320 	 0 	 664 	 0 
157 	 325 	 0 	 667 	 0 
158 	 325 	 0 	 659 	 0 
159 	 329 	 0 	 656 	 0 
160 	 329 	 0 	 653 	 0 
161 	 333 	 0 	 663 	 0 
162 	 333 	 0 	 665 	 0 
163 	 337 	 0 	 660 	 0 
164 	 337 	 0 	 666 	 0 
165 	 340 	 0 	 663 	 0 
166 	 340 	 0 	 678 	 0 
167 	 344 	 0 	 657 	 0 
168 	 344 	 0 	 665 	 0 
169 	 349 	 0 	 667 	 0 
170 	 349 	 0 	 671 	 0 
171 	 353 	 0 	 658 	 0 
172 	 353 	 0 	 669 	 0 
173 	 357 	 0 	 684 	 0 
174 	 357 	 0 	 671 	 0 
175 	 361 	 0 	 668 	 0 
176 	 361 	 0 	 673 	 0 
177 	 365 	 0 	 657 	 0 
178 	 365 	 0 	 662 	 0 
179 	 370 	 0 	 670 	 0 
180 	 370 	 0 	 655 	 0 
181 	 374 	 0 	 654 	 0 
182 	 374 	 0 	 672 	 0 
183 	 378 	 0 	 662 	 0 
184 	 378 	 0 	 662 	 0 
185 	 381 	 0 	 669 	 0 
186 	 381 	 0 	 659 	 0 
187 	 385 	 0 	 655 	 0 
188 	 385 	 0 	 653 	 0 
189 	 389 	 0 	 664 	 0 
190 	 389 	 0 	 669 	 0 
191 	 398 	 0 	 651 	 0 
192 	 398 	 0 	 664 	 0 
193 	 398 	 0 	 668 	 0 
194 	 398 	 0 	 657 	 0 
195 	 402 	 0 	 652 	 0 
196 	 402 	 0 	 677 	 0 
197 	 406 	 0 	 665 	 0 
198 	 406 	 0 	 671 	 0 
199 	 410 	 0 	 673 	 0 
200 	 410 	 0 	 676 	 0 
201 	 415 	 0 	 666 	 0 
202 	 415 	 0 	 676 	 0 
203 	 422 	 0 	 666 	 0 
204 	 422 	 0 	 666 	 0 
205 	 422 	 0 	 679 	 0 
206 	 422 	 0 	 662 	 0 
207 	 426 	 0 	 668 	 0 
208 	 426 	 0 	 662 	 0 
209 	 431 	 0 	 668 	 0 
210 	 431 	 0 	 669 	 0 
211 	 435 	 0 	 663 	 0 
212 	 435 	 0 	 666 	 0 
213 	 435 	 0 	 669 	 0 
214 	 440 	 0 	 667 	 0 
215 	 440 	 0 	 654 	 0 
216 	 445 	 0 	 654 	 0 
217 	 445 	 0 	 661 	 0 
218 	 451 	 0 	 661 	 0 
219 	 451 	 0 	 663 	 0 
220 	 451 	 0 	 667 	 0 
221 	 456 	 0 	 657 	 0 
222 	 456 	 0 	 674 	 0 
223 	 460 	 0 	 678 	 0 
224 	 460 	 0 	 666 	 0 
225 	 463 	 0 	 651 	 0 
226 	 463 	 0 	 669 	 0 
227 	 467 	 0 	 676 	 0 
228 	 467 	 0 	 661 	 0 
229 	 471 	 0 	 668 	 0 
230 	 471 	 0 	 662 	 0 
231 	 476 	 0 	 654 	 0 
232 	 476 	 0 	 656 	 0 
233 	 480 	 0 	 659 	 0 
234 	 480 	 0 	 667 	 0 
235 	 484 	 0 	 678 	 0 
236 	 484 	 0 	 666 	 0 
237 	 488 	 0 	 667 	 0 
238 	 488 	 0 	 660 	 0 
239 	 493 	 0 	 666 	 0 
240 	 493 	 0 	 659 	 0 
241 	 497 	 0 	 675 	 0 
242 	 497 	 0 	 661 	 0 
243 	 501 	 0 	 673 	 0 
244 	 501 	 0 	 668 	 0 
245 	 504 	 0 	 659 	 0 
246 	 504 	 0 	 667 	 0 
247 	 508 	 0 	 672 	 0 
248 	 508 	 0 	 669 	 0 
249 	 512 	 0 	 663 	 0 
250 	 512 	 0 	 659 	 0 
251 	 517 	 0 	 655 	 0 
252 	 517 	 0 	 668 	 0 
253 	 521 	 0 	 674 	 0 
254 	 521 	 0 	 659 	 0 
255 	 525 	 0 	 660 	 0 
256 	 525 	 0 	 667 	 0 
257 	 529 	 0 	 666 	 0 
258 	 529 	 0 	 660 	 0 
259 	 534 	 0 	 650 	 0 
260 	 534 	 0 	 664 	 0 
261 	 538 	 0 	 661 	 0 
