PulserCal_9.98MeV
10/01/20 11:59
Sample 	 Time_L [msec]  Time_H [msec] 	 Amp [mV] 	 Detector 
0 	 20 	 0 	 7403 	 0 
1 	 20 	 0 	 7412 	 0 
2 	 20 	 0 	 7405 	 0 
3 	 20 	 0 	 7404 	 0 
4 	 20 	 0 	 7396 	 0 
5 	 20 	 0 	 7402 	 0 
6 	 20 	 0 	 7412 	 0 
7 	 20 	 0 	 7398 	 0 
8 	 20 	 0 	 7414 	 0 
9 	 20 	 0 	 7402 	 0 
10 	 24 	 0 	 7403 	 0 
11 	 24 	 0 	 7397 	 0 
12 	 28 	 0 	 7394 	 0 
13 	 28 	 0 	 7402 	 0 
14 	 31 	 0 	 7401 	 0 
15 	 31 	 0 	 7404 	 0 
16 	 35 	 0 	 7395 	 0 
17 	 35 	 0 	 7399 	 0 
18 	 40 	 0 	 7411 	 0 
19 	 40 	 0 	 7397 	 0 
20 	 44 	 0 	 7407 	 0 
21 	 44 	 0 	 7390 	 0 
22 	 48 	 0 	 7415 	 0 
23 	 48 	 0 	 7411 	 0 
24 	 52 	 0 	 7405 	 0 
25 	 52 	 0 	 7407 	 0 
26 	 57 	 0 	 7408 	 0 
27 	 57 	 0 	 7413 	 0 
28 	 61 	 0 	 7397 	 0 
29 	 61 	 0 	 7409 	 0 
30 	 65 	 0 	 7406 	 0 
31 	 65 	 0 	 7412 	 0 
32 	 70 	 0 	 7407 	 0 
33 	 70 	 0 	 7420 	 0 
34 	 72 	 0 	 7412 	 0 
35 	 72 	 0 	 7398 	 0 
36 	 77 	 0 	 7400 	 0 
37 	 77 	 0 	 7403 	 0 
38 	 81 	 0 	 7419 	 0 
39 	 81 	 0 	 7405 	 0 
40 	 85 	 0 	 7411 	 0 
41 	 85 	 0 	 7410 	 0 
42 	 89 	 0 	 7417 	 0 
43 	 89 	 0 	 7403 	 0 
44 	 94 	 0 	 7397 	 0 
45 	 94 	 0 	 7393 	 0 
46 	 98 	 0 	 7411 	 0 
47 	 98 	 0 	 7403 	 0 
48 	 102 	 0 	 7414 	 0 
49 	 102 	 0 	 7416 	 0 
50 	 106 	 0 	 7400 	 0 
51 	 106 	 0 	 7408 	 0 
52 	 109 	 0 	 7406 	 0 
53 	 109 	 0 	 7399 	 0 
54 	 113 	 0 	 7403 	 0 
55 	 113 	 0 	 7392 	 0 
56 	 117 	 0 	 7403 	 0 
57 	 117 	 0 	 7410 	 0 
58 	 122 	 0 	 7404 	 0 
59 	 122 	 0 	 7409 	 0 
60 	 126 	 0 	 7411 	 0 
61 	 126 	 0 	 7418 	 0 
62 	 130 	 0 	 7415 	 0 
63 	 130 	 0 	 7408 	 0 
64 	 134 	 0 	 7411 	 0 
65 	 134 	 0 	 7416 	 0 
66 	 139 	 0 	 7404 	 0 
67 	 139 	 0 	 7407 	 0 
68 	 143 	 0 	 7403 	 0 
69 	 143 	 0 	 7407 	 0 
70 	 147 	 0 	 7399 	 0 
71 	 147 	 0 	 7391 	 0 
72 	 150 	 0 	 7396 	 0 
73 	 150 	 0 	 7399 	 0 
74 	 154 	 0 	 7390 	 0 
75 	 154 	 0 	 7409 	 0 
76 	 158 	 0 	 7411 	 0 
77 	 158 	 0 	 7413 	 0 
78 	 163 	 0 	 7409 	 0 
79 	 163 	 0 	 7410 	 0 
80 	 167 	 0 	 7418 	 0 
81 	 167 	 0 	 7401 	 0 
82 	 171 	 0 	 7400 	 0 
83 	 171 	 0 	 7404 	 0 
84 	 175 	 0 	 7390 	 0 
85 	 175 	 0 	 7400 	 0 
86 	 180 	 0 	 7399 	 0 
87 	 180 	 0 	 7418 	 0 
88 	 184 	 0 	 7400 	 0 
89 	 184 	 0 	 7423 	 0 
90 	 188 	 0 	 7407 	 0 
91 	 188 	 0 	 7397 	 0 
92 	 192 	 0 	 7411 	 0 
93 	 192 	 0 	 7407 	 0 
94 	 195 	 0 	 7414 	 0 
95 	 195 	 0 	 7422 	 0 
96 	 199 	 0 	 7422 	 0 
97 	 199 	 0 	 7407 	 0 
98 	 204 	 0 	 7399 	 0 
99 	 204 	 0 	 7415 	 0 
100 	 208 	 0 	 7419 	 0 
101 	 208 	 0 	 7417 	 0 
102 	 212 	 0 	 7409 	 0 
103 	 212 	 0 	 7411 	 0 
104 	 216 	 0 	 7412 	 0 
105 	 216 	 0 	 7408 	 0 
106 	 221 	 0 	 7398 	 0 
107 	 221 	 0 	 7391 	 0 
108 	 225 	 0 	 7398 	 0 
109 	 225 	 0 	 7410 	 0 
110 	 229 	 0 	 7398 	 0 
111 	 229 	 0 	 7408 	 0 
112 	 233 	 0 	 7396 	 0 
113 	 233 	 0 	 7395 	 0 
114 	 236 	 0 	 7414 	 0 
115 	 236 	 0 	 7384 	 0 
116 	 240 	 0 	 7403 	 0 
117 	 240 	 0 	 7402 	 0 
118 	 245 	 0 	 7399 	 0 
119 	 245 	 0 	 7402 	 0 
120 	 249 	 0 	 7417 	 0 
121 	 249 	 0 	 7416 	 0 
122 	 253 	 0 	 7416 	 0 
123 	 253 	 0 	 7411 	 0 
124 	 257 	 0 	 7410 	 0 
125 	 257 	 0 	 7410 	 0 
126 	 262 	 0 	 7406 	 0 
127 	 262 	 0 	 7398 	 0 
128 	 266 	 0 	 7412 	 0 
129 	 266 	 0 	 7404 	 0 
130 	 270 	 0 	 7405 	 0 
131 	 270 	 0 	 7410 	 0 
132 	 274 	 0 	 7396 	 0 
133 	 274 	 0 	 7410 	 0 
134 	 277 	 0 	 7412 	 0 
135 	 277 	 0 	 7405 	 0 
136 	 281 	 0 	 7397 	 0 
137 	 281 	 0 	 7390 	 0 
138 	 285 	 0 	 7415 	 0 
139 	 285 	 0 	 7400 	 0 
140 	 290 	 0 	 7397 	 0 
141 	 290 	 0 	 7403 	 0 
142 	 294 	 0 	 7403 	 0 
143 	 294 	 0 	 7407 	 0 
144 	 298 	 0 	 7417 	 0 
145 	 298 	 0 	 7418 	 0 
146 	 302 	 0 	 7412 	 0 
147 	 302 	 0 	 7414 	 0 
148 	 307 	 0 	 7404 	 0 
149 	 307 	 0 	 7390 	 0 
150 	 311 	 0 	 7406 	 0 
151 	 311 	 0 	 7414 	 0 
152 	 315 	 0 	 7405 	 0 
153 	 315 	 0 	 7427 	 0 
154 	 318 	 0 	 7413 	 0 
155 	 318 	 0 	 7410 	 0 
156 	 322 	 0 	 7395 	 0 
157 	 322 	 0 	 7394 	 0 
158 	 327 	 0 	 7396 	 0 
159 	 327 	 0 	 7418 	 0 
160 	 332 	 0 	 7396 	 0 
161 	 332 	 0 	 7405 	 0 
162 	 332 	 0 	 7404 	 0 
163 	 337 	 0 	 7399 	 0 
164 	 337 	 0 	 7406 	 0 
165 	 342 	 0 	 7419 	 0 
166 	 342 	 0 	 7408 	 0 
167 	 346 	 0 	 7406 	 0 
168 	 346 	 0 	 7405 	 0 
169 	 350 	 0 	 7412 	 0 
170 	 350 	 0 	 7409 	 0 
171 	 353 	 0 	 7412 	 0 
172 	 353 	 0 	 7404 	 0 
173 	 357 	 0 	 7399 	 0 
174 	 357 	 0 	 7412 	 0 
175 	 361 	 0 	 7401 	 0 
176 	 361 	 0 	 7405 	 0 
177 	 366 	 0 	 7399 	 0 
178 	 366 	 0 	 7401 	 0 
179 	 370 	 0 	 7402 	 0 
180 	 370 	 0 	 7410 	 0 
181 	 374 	 0 	 7407 	 0 
182 	 374 	 0 	 7397 	 0 
183 	 378 	 0 	 7412 	 0 
184 	 378 	 0 	 7403 	 0 
185 	 383 	 0 	 7399 	 0 
186 	 383 	 0 	 7404 	 0 
187 	 387 	 0 	 7416 	 0 
188 	 387 	 0 	 7401 	 0 
189 	 390 	 0 	 7411 	 0 
190 	 390 	 0 	 7409 	 0 
191 	 394 	 0 	 7410 	 0 
192 	 394 	 0 	 7406 	 0 
193 	 398 	 0 	 7390 	 0 
194 	 398 	 0 	 7426 	 0 
195 	 403 	 0 	 7425 	 0 
196 	 403 	 0 	 7418 	 0 
197 	 407 	 0 	 7411 	 0 
198 	 407 	 0 	 7413 	 0 
199 	 411 	 0 	 7421 	 0 
200 	 411 	 0 	 7398 	 0 
201 	 415 	 0 	 7401 	 0 
202 	 415 	 0 	 7408 	 0 
203 	 420 	 0 	 7396 	 0 
204 	 420 	 0 	 7418 	 0 
205 	 420 	 0 	 7408 	 0 
206 	 420 	 0 	 7387 	 0 
207 	 427 	 0 	 7401 	 0 
208 	 427 	 0 	 7411 	 0 
209 	 431 	 0 	 7404 	 0 
210 	 431 	 0 	 7404 	 0 
211 	 435 	 0 	 7420 	 0 
212 	 435 	 0 	 7405 	 0 
213 	 440 	 0 	 7413 	 0 
214 	 440 	 0 	 7404 	 0 
215 	 444 	 0 	 7405 	 0 
216 	 444 	 0 	 7398 	 0 
217 	 448 	 0 	 7402 	 0 
218 	 448 	 0 	 7397 	 0 
219 	 452 	 0 	 7400 	 0 
220 	 452 	 0 	 7415 	 0 
